"region","instanceType","price"
"eu-central-1","d2.8xlarge","0.270"
"apac-sin","m3.xlarge","0.070"
"apac-sin","m3.2xlarge","0.140"
"apac-sin","m1.small","0.011"
"apac-sin","m1.medium","0.022"
"apac-sin","m1.large","0.044"
"apac-sin","m1.xlarge","0.088"
"apac-sin","c3.xlarge","0.053"
"apac-sin","c3.2xlarge","0.105"
"apac-sin","c3.4xlarge","0.210"
"apac-sin","c3.8xlarge","0.270"
"apac-sin","c1.medium","0.030"
"apac-sin","c1.xlarge","0.120"
"apac-sin","g2.2xlarge","0.200"
"apac-sin","r3.xlarge","0.090"
"apac-sin","r3.2xlarge","0.180"
"apac-sin","r3.4xlarge","0.270"
"apac-sin","r3.8xlarge","0.270"
"apac-sin","m2.xlarge","0.062"
"apac-sin","m2.2xlarge","0.123"
"apac-sin","m2.4xlarge","0.246"
"apac-sin","i2.xlarge","0.213"
"apac-sin","i2.2xlarge","0.270"
"apac-sin","i2.4xlarge","0.270"
"apac-sin","i2.8xlarge","0.270"
"apac-sin","d2.xlarge","0.173"
"apac-sin","d2.2xlarge","0.270"
"apac-sin","d2.4xlarge","0.270"
"apac-sin","d2.8xlarge","0.270"
"apac-sin","hs1.8xlarge","0.270"
"apac-tokyo","m3.xlarge","0.070"
"apac-tokyo","m3.2xlarge","0.140"
"apac-tokyo","m1.small","0.011"
"apac-tokyo","m1.medium","0.022"
"apac-tokyo","m1.large","0.044"
"apac-tokyo","m1.xlarge","0.088"
"apac-tokyo","c3.xlarge","0.053"
"apac-tokyo","c3.2xlarge","0.105"
"apac-tokyo","c3.4xlarge","0.210"
"apac-tokyo","c3.8xlarge","0.270"
"apac-tokyo","c1.medium","0.030"
"apac-tokyo","c1.xlarge","0.120"
"apac-tokyo","cc2.8xlarge","0.270"
"apac-tokyo","r3.xlarge","0.090"
"apac-tokyo","r3.2xlarge","0.180"
"apac-tokyo","r3.4xlarge","0.270"
"apac-tokyo","r3.8xlarge","0.270"
"apac-tokyo","m2.xlarge","0.062"
"apac-tokyo","m2.2xlarge","0.123"
"apac-tokyo","m2.4xlarge","0.246"
"apac-tokyo","cr1.8xlarge","0.270"
